"NIK","nama","tempat_lahir","tanggal_lahir","jenis_kelamin","golongan_darah","alamat","agama","status_perkawinan","pekerjaan","kewarganegaraan"
"0645997848960388","d4N4 cSh","Batam","1958-07-18","Perempuan","B","Jl. d4N4 cSh No. 35","Katolik","Cerai","Karyawan BUMD","Filipina"
"3545570858701922","R0B3rt vOORHIES","Padang","1964-01-04","Perempuan","AB","Jl. R0B3rt vOORHIES No. 96","Islam","Belum Menikah","Manajer","Vietnam"
"0155607200027062","J3551E 4tKinSON","Jambi","1993-12-14","Perempuan","AB","Jl. J3551E 4tKinSON No. 1","Katolik","Menikah","Anggota DPD","Italia"
"1098298088201457","jon4TH4n fr03Dg3","Probolinggo","1974-05-19","Perempuan","O","Jl. jon4TH4n fr03Dg3 No. 2","Buddha","Cerai","Perdagangan","Canada"
"6695442779406885","ls4 GR4nT","Sidoarjo","1979-06-18","Laki-Laki","B","Jl. ls4 GR4nT No. 62","Khonghucu","Cerai","Pialang","Indonesia"
"9885378713003721","k1mB3RLy JN3s","Cirebon","2001-12-03","Perempuan","AB","Jl. k1mB3RLy JN3s No. 42","Buddha","Menikah","Pastur","Myanmar"
"0024429554821126","LChLL3 MdDLTN","Trenggalek","1993-12-20","Perempuan","AB","Jl. LChLL3 MdDLTN No. 66","Protestan","Cerai","Tabib","Perancis"
"7623607244990295","Km M4Nz4N0","Ambon","1949-03-06","Perempuan","A","Jl. Km M4Nz4N0 No. 21","Katolik","Cerai","Presiden","Italia"
"6381356951076093","m4Rg4ReT cl0niNG3R","Tegal","1966-11-10","Laki-Laki","AB","Jl. m4Rg4ReT cl0niNG3R No. 1","Hindu","Cerai","Paraji","Indonesia"
"1018378361818173","St3V lmK","Banyuwangi","1972-09-12","Laki-Laki","O","Jl. St3V lmK No. 54","Protestan","Cerai","Tukang Listrik","Vietnam"
"4819645534176315","v1ck BRYNt","Mataram","1986-12-07","Laki-Laki","B","Jl. v1ck BRYNt No. 80","Khonghucu","Belum Menikah","Tukang Cukur","Kamboja"
"1401150238120664","cnn13 B5H0p","Pontianak","2006-04-09","Laki-Laki","B","Jl. cnn13 B5H0p No. 24","Hindu","Cerai","Bupati","Singapura"
"9898558734524913","T1n knGHT","Tuban","1948-03-10","Perempuan","AB","Jl. T1n knGHT No. 99","Hindu","Belum Menikah","Wakil Gubernur","Laos"
"4942312623237506","r3Ne c0x","Lumajang","1978-09-09","Laki-Laki","B","Jl. r3Ne c0x No. 46","Katolik","Cerai","Perdagangan","Indonesia"
"2189463611801604","RebBECc4 CrOwn","Cirebon","1985-04-04","Perempuan","O","Jl. RebBECc4 CrOwn No. 39","Buddha","Belum Menikah","Pilot","Singapura"
"6132986280691277","r0y ct","Tegal","1979-09-23","Laki-Laki","A","Jl. r0y ct No. 89","Buddha","Cerai","Seniman","Italia"
"3597315974965300","k3nNTh kNght","Langsa","1979-04-10","Laki-Laki","O","Jl. k3nNTh kNght No. 42","Protestan","Belum Menikah","Paranormal","Singapura"
"7473566051231714","Ch4rl3S sTNly","Tegal","1967-01-11","Perempuan","B","Jl. Ch4rl3S sTNly No. 57","Buddha","Belum Menikah","Pendeta","Perancis"
"0772037928809319","Ellen L1ndsEY","Pamekasan","2000-07-28","Laki-Laki","B","Jl. Ellen L1ndsEY No. 88","Katolik","Belum Menikah","Belum / Tidak Bekerja","Malaysia"
"2108703180412650","tH0ms C4nTR3ll","Kupang","2000-09-11","Laki-Laki","O","Jl. tH0ms C4nTR3ll No. 93","Hindu","Cerai","Anggota Kabinet / Kementerian","Singapura"
"5040566528571643","PATR1CE SIcKleR","Salatiga","1974-04-19","Perempuan","B","Jl. PATR1CE SIcKleR No. 9","Hindu","Menikah","Pelajar / Mahasiswa","Indonesia"
"8600740196146036","m1k3 GY","Bondowoso","1973-12-03","Perempuan","B","Jl. m1k3 GY No. 49","Buddha","Menikah","Mengurus Rumah Tangga","Vietnam"
"9299591902311921","rick mccaRthy","Ponorogo","1990-05-01","Perempuan","B","Jl. rick mccaRthy No. 67","Buddha","Belum Menikah","Promotor Acara","Amerika"
"3137638079199883","vlM Thrtn","Boyolali","2005-12-15","Laki-Laki","A","Jl. vlM Thrtn No. 32","Khonghucu","Cerai","Penata Busana","Italia"
"6604490256392625","j0yc HGH35","Pangkal Pinang","2002-03-09","Perempuan","A","Jl. j0yc HGH35 No. 95","Islam","Belum Menikah","Anggota Kabinet / Kementerian","Indonesia"
"8926810729200708","j0YCe b3rL4Nd","Subulussalam","1974-04-27","Perempuan","A","Jl. j0YCe b3rL4Nd No. 91","Khonghucu","Menikah","Buruh Harian Lepas","Canada"
"1969365183924391","IsM4eL TracY","Sragen","1963-01-31","Perempuan","A","Jl. IsM4eL TracY No. 26","Khonghucu","Cerai","Tukang Cukur","Perancis"
"6200085006830056","JHn GrdN4","Wonogiri","1957-09-30","Perempuan","B","Jl. JHn GrdN4 No. 70","Katolik","Menikah","Asisten Ahli","Italia"
"2483130697638629","C4THY j0HN50N","Batam","2005-03-02","Laki-Laki","O","Jl. C4THY j0HN50N No. 76","Khonghucu","Cerai","Tukang Listrik","Myanmar"
"5570652003697586","nncy jhnsN","Trenggalek","1968-09-25","Perempuan","O","Jl. nncy jhnsN No. 51","Islam","Cerai","Belum / Tidak Bekerja","Laos"
"9998211503198067","WLL4m 54NDR5","Banda Aceh","1976-10-01","Laki-Laki","O","Jl. WLL4m 54NDR5 No. 81","Protestan","Belum Menikah","Wakil Walikota","Singapura"
"1798253555052699","tR35S4 K3NN3dy","Padang","1953-06-01","Laki-Laki","B","Jl. tR35S4 K3NN3dy No. 77","Katolik","Cerai","Peneliti","Kamboja"
"6077108295056363","5c4R r0lLn5","Magelang","1981-10-17","Perempuan","AB","Jl. 5c4R r0lLn5 No. 63","Khonghucu","Cerai","Psikiater / Psikolog","Singapura"
"6788440288717106","mAtTHew w1LLI4m5","Banyuwangi","1964-11-27","Laki-Laki","AB","Jl. mAtTHew w1LLI4m5 No. 98","Protestan","Menikah","Peneliti","Kamboja"
"2327633344632765","5AR4H B4NU3lO5","Kediri","1955-07-25","Perempuan","B","Jl. 5AR4H B4NU3lO5 No. 80","Hindu","Cerai","Juru Masak","Singapura"
"2231080875415487","mlDRD dCkSWRTh","Mojokerto","2004-02-11","Perempuan","AB","Jl. mlDRD dCkSWRTh No. 43","Buddha","Belum Menikah","Penerjemah","Filipina"
"2496855702791067","3Ugen3 mUllIN5","Purbalingga","1972-06-01","Perempuan","B","Jl. 3Ugen3 mUllIN5 No. 76","Katolik","Menikah","Tukang Jahit","Italia"
"5317235901727094","emMA 5I3m3nS","Bangkalan","2005-06-26","Perempuan","AB","Jl. emMA 5I3m3nS No. 33","Islam","Belum Menikah","Perancang Busana","Laos"
"1742298423557239","calv1n 3arl","Madiun","1968-02-13","Laki-Laki","B","Jl. calv1n 3arl No. 59","Katolik","Belum Menikah","Pelajar / Mahasiswa","Myanmar"
"8314410802486936","jhn db4d13","Lumajang","1994-06-03","Perempuan","O","Jl. jhn db4d13 No. 93","Protestan","Cerai","Seniman","Filipina"
"7348122174845589","v1Nc3nT c4RTr","Kediri","1997-11-30","Laki-Laki","A","Jl. v1Nc3nT c4RTr No. 2","Khonghucu","Menikah","Sopir","Perancis"
"6316678413121840","elI5a ROTH","Magelang","1953-09-12","Laki-Laki","O","Jl. elI5a ROTH No. 61","Katolik","Belum Menikah","Pengacara","Korea"
"8427735620805034","Timothy c0ron4d0","Madiun","1968-06-25","Laki-Laki","AB","Jl. Timothy c0ron4d0 No. 47","Buddha","Belum Menikah","Penyiar Radio","Kamboja"
"7051526135902525","Jam3s c4RteR","Cilegon","1992-02-01","Perempuan","B","Jl. Jam3s c4RteR No. 82","Hindu","Menikah","Belum / Tidak Bekerja","Korea"
"9730434676332914","rl j0hN5n","Situbondo","1962-03-05","Perempuan","A","Jl. rl j0hN5n No. 80","Protestan","Cerai","Operator","Malaysia"
"4504298028977845","GlENN ph1Ll1PS","Palembang","1960-06-20","Laki-Laki","B","Jl. GlENN ph1Ll1PS No. 8","Buddha","Menikah","Tukang Batu","Filipina"
"9837628309278481","Em1Ly HaYnE5","Blitar","1988-05-28","Perempuan","O","Jl. Em1Ly HaYnE5 No. 72","Hindu","Menikah","Dokter","Italia"
"6170126197448167","JErRy cumMing5","Lumajang","1951-04-15","Perempuan","AB","Jl. JErRy cumMing5 No. 14","Buddha","Menikah","Buruh Harian Lepas","Jepang"
"4137458496264286","V1cToR ky3R","Tuban","1966-12-21","Laki-Laki","B","Jl. V1cToR ky3R No. 77","Katolik","Belum Menikah","Pendeta","Laos"
"3735099501895215","m1ch43L 4L3X4NdR4","Madiun","1988-04-26","Laki-Laki","O","Jl. m1ch43L 4L3X4NdR4 No. 34","Hindu","Cerai","Peneliti","Amerika"
"2778796709752413","5YLV14 PhR55","Ngawi","1995-04-01","Laki-Laki","A","Jl. 5YLV14 PhR55 No. 61","Khonghucu","Menikah","Buruh Tani / Perkebunan","Italia"
"2461349558431405","JL J4Cbs","Tarakan","1980-07-12","Perempuan","A","Jl. JL J4Cbs No. 94","Buddha","Cerai","Wakil Presiden","Malaysia"
"7607960287962071","CL30 PrrY","Surakarta","1956-07-28","Laki-Laki","O","Jl. CL30 PrrY No. 87","Hindu","Menikah","Lainnya","Vietnam"
"3968268230001176","M4rK D1Xn","Surabaya","1999-10-13","Laki-Laki","A","Jl. M4rK D1Xn No. 34","Hindu","Menikah","Pendeta","Brunei"
"9212054907925658","d4VD 5N1p35","Sumenep","1961-04-02","Perempuan","AB","Jl. d4VD 5N1p35 No. 51","Islam","Cerai","Pilot","Indonesia"
"6197398163749464","ERiC lopeZ","Blitar","1988-06-13","Perempuan","AB","Jl. ERiC lopeZ No. 64","Buddha","Menikah","Tukang Kayu","Brunei"
"1033027931354008","M3rcD35 p3Ck","Madiun","1983-05-23","Laki-Laki","A","Jl. M3rcD35 p3Ck No. 38","Protestan","Menikah","Perdagangan","Jepang"
"0768951728684952","CsS4NdR W1lS0n","Subulussalam","2006-08-19","Laki-Laki","AB","Jl. CsS4NdR W1lS0n No. 41","Buddha","Belum Menikah","Biarawati","Amerika"
"4162260697138423","B1lLY WLl14m5","Banda Aceh","1996-04-20","Perempuan","O","Jl. B1lLY WLl14m5 No. 97","Protestan","Cerai","Asisten Ahli","Korea"
"1399148745644821","chr5T14n n1Sbt","Bekasi","2005-11-03","Laki-Laki","O","Jl. chr5T14n n1Sbt No. 96","Buddha","Cerai","Pastur","Perancis"
"5689263196655454","DoNn4 l0y","Batu","1964-07-31","Perempuan","B","Jl. DoNn4 l0y No. 35","Islam","Belum Menikah","Anggota DPD","Thailand"
"9432802624658707","4my VaLerI0","Kediri","1965-05-02","Perempuan","A","Jl. 4my VaLerI0 No. 9","Khonghucu","Menikah","Biarawati","Jepang"
"6631688393112263","LorRA1N3 5tan1Sl4wsk1","Jakarta","1980-10-12","Perempuan","O","Jl. LorRA1N3 5tan1Sl4wsk1 No. 5","Buddha","Cerai","Psikiater / Psikolog","Italia"
"0552715213907578","M4tTh3W Bchr","Denpasar","1969-10-03","Laki-Laki","O","Jl. M4tTh3W Bchr No. 31","Khonghucu","Belum Menikah","Tenaga Tata Usaha","Canada"
"9112241780861662","Dian3 sh4nn0n","Padang","1998-03-31","Perempuan","AB","Jl. Dian3 sh4nn0n No. 1","Katolik","Belum Menikah","Buruh Harian Lepas","Inggris"
"4546727084206407","bARB4Ra fULk","Blitar","1963-05-31","Laki-Laki","O","Jl. bARB4Ra fULk No. 30","Islam","Cerai","Anggota BPK","Malaysia"
"6302886049616602","guiLlERM0 fAIN","Sampang","1975-07-21","Laki-Laki","O","Jl. guiLlERM0 fAIN No. 38","Islam","Menikah","Kepala Desa","Indonesia"
"4707974132932342","D0L0rES giRDl3Y","Binjai","1975-08-20","Perempuan","B","Jl. D0L0rES giRDl3Y No. 55","Buddha","Cerai","Penerjemah","Singapura"
"3312090331737317","TR15taN B0hN","Klaten","1997-08-14","Perempuan","AB","Jl. TR15taN B0hN No. 29","Buddha","Belum Menikah","Chef","Laos"
"9247362746117517","dvD cHV3Z","Palu","1983-10-06","Laki-Laki","B","Jl. dvD cHV3Z No. 69","Katolik","Menikah","Atlit","Filipina"
"2217901828866330","mARi4 Bl4iR","Madiun","1951-04-06","Laki-Laki","A","Jl. mARi4 Bl4iR No. 78","Protestan","Cerai","Penata Rias","Myanmar"
"8848598022957357","brN VLlRR3l","Pekanbaru","1973-12-26","Laki-Laki","B","Jl. brN VLlRR3l No. 37","Islam","Belum Menikah","Paranormal","Perancis"
"8750331396018973","4M4nd4 R1GgNs","Tegal","2003-12-25","Laki-Laki","A","Jl. 4M4nd4 R1GgNs No. 50","Hindu","Menikah","Seniman","Singapura"
"7056908488640601","r0gr MrkS","Balikpapan","1951-07-14","Perempuan","O","Jl. r0gr MrkS No. 95","Protestan","Belum Menikah","Arsitek","Brunei"
"3698077942009032","JnC dY3","Sumenep","2003-05-05","Laki-Laki","A","Jl. JnC dY3 No. 42","Khonghucu","Cerai","Tukang Sol Sepatu","Korea"
"0660614047269087","d3b0r4H OcOnn0r","Bandar Lampung","1995-07-09","Perempuan","O","Jl. d3b0r4H OcOnn0r No. 84","Khonghucu","Belum Menikah","Perawat","Laos"
"7018499927146588","vincEnt j0hns0n","Sampang","1953-04-06","Perempuan","A","Jl. vincEnt j0hns0n No. 41","Hindu","Belum Menikah","Perdagangan","Vietnam"
"9466830902949519","c0nn1E SMiTh","Sampang","1956-04-15","Laki-Laki","O","Jl. c0nn1E SMiTh No. 65","Buddha","Belum Menikah","Tukang Listrik","Perancis"
"1746746886261972","dEb0R4h JoHn5Ton","Sabang","1999-03-26","Perempuan","O","Jl. dEb0R4h JoHn5Ton No. 31","Khonghucu","Cerai","Bupati","Italia"
"7707009111702797","lINdA m0Or3","Trenggalek","1963-06-06","Perempuan","B","Jl. lINdA m0Or3 No. 33","Katolik","Menikah","Karyawan Honorer","Indonesia"
"2481330013945347","Ca5ey fr1EdMAn","Lumajang","1964-08-06","Laki-Laki","A","Jl. Ca5ey fr1EdMAn No. 14","Protestan","Menikah","Kepolisian RI","Korea"
"7660332630007337","D4n4 MoRTon","Ponorogo","1949-01-23","Laki-Laki","O","Jl. D4n4 MoRTon No. 70","Islam","Belum Menikah","Wakil Presiden","Indonesia"
"3411405010635157","Dmn DnLp","Lamongan","1977-03-03","Perempuan","O","Jl. Dmn DnLp No. 2","Islam","Belum Menikah","Ustadz / Mubaligh","Singapura"
"7368666531354702","raY jUDd","Cirebon","1991-12-20","Laki-Laki","A","Jl. raY jUDd No. 89","Buddha","Cerai","Pialang","Inggris"
"2099127422590101","hd1 gr4Y","Sabang","2003-01-06","Perempuan","O","Jl. hd1 gr4Y No. 94","Buddha","Menikah","Paranormal","Perancis"
"0418218888101635","cHARl3S 4lVar3Z","Mataram","1985-08-27","Laki-Laki","A","Jl. cHARl3S 4lVar3Z No. 87","Protestan","Cerai","Ustadz / Mubaligh","Indonesia"
"5391462969619031","m4RY Y0Ung","Medan","1947-10-11","Perempuan","AB","Jl. m4RY Y0Ung No. 7","Katolik","Cerai","Walikota","Amerika"
"4272382792234258","eD1Th K3TchUM","Cilegon","1952-12-02","Laki-Laki","O","Jl. eD1Th K3TchUM No. 87","Khonghucu","Cerai","Dosen","Filipina"
"3144125358653340","DN4 chr1sT0PH3R","Cilacap","2001-04-21","Laki-Laki","A","Jl. DN4 chr1sT0PH3R No. 45","Protestan","Cerai","Tabib","Filipina"
"8674663560034403","chrsT0Phr HN3Y","Sukabumi","1991-02-01","Laki-Laki","B","Jl. chrsT0Phr HN3Y No. 98","Buddha","Belum Menikah","Asisten Ahli","Brunei"
"4807339797295152","JOSEPh hop3","Probolinggo","1970-09-06","Perempuan","AB","Jl. JOSEPh hop3 No. 41","Buddha","Cerai","Lainnya","Thailand"
"3338210987987179","j4nn mLDN4D0","Kediri","2000-01-21","Perempuan","A","Jl. j4nn mLDN4D0 No. 98","Katolik","Cerai","Belum / Tidak Bekerja","Indonesia"
"2939474032560414","ls4 BCk","Samarinda","1961-12-06","Perempuan","A","Jl. ls4 BCk No. 6","Protestan","Menikah","Anggota Mahkamah Konstitusi","Vietnam"
"2920619610485130","Kyl Br0wN","Situbondo","1995-05-09","Laki-Laki","B","Jl. Kyl Br0wN No. 56","Protestan","Menikah","Sopir","Myanmar"
"8338380586659660","SH3rR bYC","Situbondo","1956-09-16","Perempuan","B","Jl. SH3rR bYC No. 39","Protestan","Menikah","Belum / Tidak Bekerja","Indonesia"
"4022682710493653","K3VIn me3l3r","Jember","1969-02-26","Perempuan","O","Jl. K3VIn me3l3r No. 44","Islam","Cerai","Anggota DPR-RI","Amerika"
"3294097462870355","d hrnDN","Kediri","1993-10-20","Perempuan","A","Jl. d hrnDN No. 57","Katolik","Menikah","Asisten Ahli","Filipina"
"2796015577960753","VivIan vICKers","Blitar","1995-06-24","Laki-Laki","AB","Jl. VivIan vICKers No. 30","Katolik","Belum Menikah","Bupati","Singapura"
"9140224665805102","thoM45 ruFf","Probolinggo","1984-04-30","Laki-Laki","B","Jl. thoM45 ruFf No. 78","Islam","Menikah","Juru Masak","Thailand"
"2936254347356458","K31Th R3BCK","Magetan","1981-07-17","Perempuan","A","Jl. K31Th R3BCK No. 29","Islam","Cerai","Manajer","Laos"
"4252891526770339","3RN Hr5HMN","Sidoarjo","1960-12-24","Laki-Laki","A","Jl. 3RN Hr5HMN No. 7","Protestan","Belum Menikah","Tukang Las / Pandai Besi","Canada"
"0516338996903831","benny f0rD","Kediri","1999-11-17","Laki-Laki","O","Jl. benny f0rD No. 32","Hindu","Menikah","Anggota DPD","Thailand"
"2775738997675643","j0hN tH34Ll","Trenggalek","1968-12-16","Laki-Laki","A","Jl. j0hN tH34Ll No. 62","Buddha","Belum Menikah","Peternak","Amerika"
"6626611072375512","jhN Slt","Salatiga","1951-06-10","Laki-Laki","O","Jl. jhN Slt No. 4","Islam","Cerai","Bidan","Vietnam"
"2291429791732091","F0RR3St Floyd","Pamekasan","1973-12-12","Perempuan","B","Jl. F0RR3St Floyd No. 100","Buddha","Belum Menikah","Kepala Desa","Brunei"
"7893594023744869","5T3V3 DR4P3r","Pangkal Pinang","1962-03-18","Perempuan","B","Jl. 5T3V3 DR4P3r No. 94","Hindu","Belum Menikah","Pegawai Negeri Sipil","Jepang"
"4390928875985770","T4Sh4 J0HNS0n","Situbondo","1971-11-11","Laki-Laki","B","Jl. T4Sh4 J0HNS0n No. 93","Buddha","Menikah","Gubernur","Canada"
"0737476457908912","brTT4 l1V1NGsTN","Gresik","1998-01-14","Laki-Laki","A","Jl. brTT4 l1V1NGsTN No. 89","Protestan","Cerai","Buruh Tani / Perkebunan","Italia"
"4734917672188127","m4RY l0CKhrT","Sidoarjo","1961-02-17","Perempuan","AB","Jl. m4RY l0CKhrT No. 23","Katolik","Cerai","Buruh Tani / Perkebunan","Laos"
"8165493591482100","DL3 cL4Rk","Gresik","2001-09-20","Laki-Laki","A","Jl. DL3 cL4Rk No. 26","Khonghucu","Cerai","Karyawan Swasta","Perancis"
"1207945325637630","mTtHw Hnt0n","Bondowoso","2005-10-03","Perempuan","B","Jl. mTtHw Hnt0n No. 41","Buddha","Cerai","Transportasi","Filipina"
"6206663849423086","l3 BrbR","Ambon","1957-11-22","Perempuan","O","Jl. l3 BrbR No. 10","Islam","Cerai","Paranormal","Filipina"
"1044113621631167","5t3pHN1 p3tRs3N","Padang","1999-10-04","Laki-Laki","AB","Jl. 5t3pHN1 p3tRs3N No. 72","Hindu","Cerai","Peneliti","Brunei"
"6298987539525773","j4m3S JNN1NG5","Langsa","1953-11-05","Laki-Laki","AB","Jl. j4m3S JNN1NG5 No. 26","Katolik","Menikah","Seniman","Amerika"
"2625518689332344","3M1Ly PrSN5","Surabaya","1993-12-21","Perempuan","B","Jl. 3M1Ly PrSN5 No. 71","Islam","Belum Menikah","Peneliti","Indonesia"
"9615430229880798","5T4cy P4RkS","Tulungagung","1949-04-07","Laki-Laki","B","Jl. 5T4cy P4RkS No. 38","Islam","Menikah","Bupati","Korea"
"1565535254580678","sH1l V1VS","Nganjuk","1950-11-06","Perempuan","A","Jl. sH1l V1VS No. 100","Protestan","Belum Menikah","Industri","Jepang"
"0886110993218319","fR4Nc35 MhTn1","Jayapura","1972-07-17","Perempuan","O","Jl. fR4Nc35 MhTn1 No. 58","Islam","Belum Menikah","Ustadz / Mubaligh","Italia"
"9028769339655385","m1Ch4L 5H3rRy","Tuban","1980-09-26","Laki-Laki","O","Jl. m1Ch4L 5H3rRy No. 43","Katolik","Belum Menikah","Anggota BPK","Indonesia"
"7714761573931826","trry tCy","Ngawi","1967-09-21","Perempuan","AB","Jl. trry tCy No. 31","Hindu","Menikah","Karyawan BUMN","Inggris"
"7300576431771806","j05Hu4 Ch4Vez","Padang","1979-10-28","Perempuan","AB","Jl. j05Hu4 Ch4Vez No. 8","Hindu","Belum Menikah","Karyawan BUMN","Kamboja"
"4607859802247669","rOSe le3","Palu","1951-01-23","Laki-Laki","B","Jl. rOSe le3 No. 26","Khonghucu","Menikah","Pegawai Negeri Sipil","Korea"
"2049895595675455","WaltEr Z1mMERM4N","Brebes","1989-09-13","Perempuan","B","Jl. WaltEr Z1mMERM4N No. 53","Hindu","Menikah","Pialang","Thailand"
"6722796690177524","Pt3r Wyl13","Banyuwangi","1953-04-16","Laki-Laki","A","Jl. Pt3r Wyl13 No. 36","Buddha","Belum Menikah","Promotor Acara","Singapura"
"1753379497732748","J3nNIFEr h0UGH","Pamekasan","1989-12-09","Laki-Laki","AB","Jl. J3nNIFEr h0UGH No. 18","Protestan","Menikah","Pegawai Negeri Sipil","Italia"
"0041960310581190","5ylV14 MNdZ4","Tulungagung","1957-06-25","Perempuan","A","Jl. 5ylV14 MNdZ4 No. 19","Islam","Menikah","Anggota DPD","Singapura"
"6168435441251581","4LBeRt1Ne HAmBright","Tuban","1992-09-25","Perempuan","O","Jl. 4LBeRt1Ne HAmBright No. 92","Islam","Belum Menikah","Buruh Nelayan / Perikanan","Amerika"
"5819501893475095","JHN mcG1r","Padang","1947-08-31","Laki-Laki","AB","Jl. JHN mcG1r No. 98","Protestan","Menikah","Pastur","Indonesia"
"8429782554271828","f4B0L H0cKN5","Lumajang","1965-10-22","Perempuan","O","Jl. f4B0L H0cKN5 No. 98","Protestan","Cerai","Nelayan / Perikanan","Inggris"
"9670917500354754","laRRY GUzm4N","Bekasi","2003-02-08","Laki-Laki","B","Jl. laRRY GUzm4N No. 12","Buddha","Cerai","Pilot","Vietnam"
"3968126945923487","m1chelle pR1TTS","Mojokerto","2002-09-05","Laki-Laki","B","Jl. m1chelle pR1TTS No. 61","Islam","Menikah","Buruh Nelayan / Perikanan","Canada"
"3297177804067893","3v3lyn MR3Nc","Kediri","1995-03-28","Perempuan","A","Jl. 3v3lyn MR3Nc No. 10","Protestan","Belum Menikah","Buruh Nelayan / Perikanan","Korea"
"6791564964161156","N1t g4Rv3y","Sidoarjo","2002-06-02","Perempuan","AB","Jl. N1t g4Rv3y No. 17","Islam","Belum Menikah","Tentara Nasional Indonesia","Inggris"
"1369015217637669","maRy cHAv3Z","Pati","1955-02-19","Perempuan","O","Jl. maRy cHAv3Z No. 39","Hindu","Menikah","Artis","Italia"
"1406157976173252","54r4H SlT","Kediri","1962-09-11","Laki-Laki","O","Jl. 54r4H SlT No. 54","Hindu","Menikah","Pensiunan","Malaysia"
"4267357210821775","4L1c3 MYErs","Cirebon","1964-01-11","Perempuan","A","Jl. 4L1c3 MYErs No. 77","Protestan","Menikah","Manajer","Korea"
"2183038242370468","w1Ll1M b0RdlN","Trenggalek","1994-06-27","Laki-Laki","AB","Jl. w1Ll1M b0RdlN No. 22","Khonghucu","Cerai","Penata Busana","Vietnam"
"8323378776250104","m4GD4l3na GR3en","Mojokerto","1969-02-26","Perempuan","B","Jl. m4GD4l3na GR3en No. 93","Protestan","Cerai","Wakil Presiden","Vietnam"
"7559048099256656","D3l0RE5 3v4N5","Bogor","1983-10-22","Perempuan","B","Jl. D3l0RE5 3v4N5 No. 6","Hindu","Belum Menikah","Atlit","Italia"
"7092584466906882","d4V rnK3M3yR","Blitar","1956-12-03","Perempuan","A","Jl. d4V rnK3M3yR No. 95","Protestan","Cerai","Pelajar / Mahasiswa","Indonesia"
"8385565665390711","Eb0Ny SAL45","Surakarta","2000-10-28","Perempuan","O","Jl. Eb0Ny SAL45 No. 57","Hindu","Belum Menikah","Pelajar / Mahasiswa","Filipina"
"4036388308017771","h0rC3 04ks","Bojonegoro","1972-02-05","Perempuan","O","Jl. h0rC3 04ks No. 58","Khonghucu","Cerai","Tukang Listrik","Laos"
"1990064875121780","JDTH M4rTnz","Magelang","1947-10-29","Perempuan","A","Jl. JDTH M4rTnz No. 74","Katolik","Cerai","Ustadz / Mubaligh","Perancis"
"2697568465977827","CaR0LyN tRUdN0WSKi","Situbondo","1974-09-30","Perempuan","AB","Jl. CaR0LyN tRUdN0WSKi No. 73","Katolik","Belum Menikah","Mekanik","Amerika"
"9708884819620290","S4NDRA wITherS","Sampang","1948-06-21","Perempuan","A","Jl. S4NDRA wITherS No. 34","Khonghucu","Belum Menikah","Tukang Cukur","Perancis"
"2412522418621686","M4R4 mLLn5","Lamongan","1999-03-12","Perempuan","O","Jl. M4R4 mLLn5 No. 90","Khonghucu","Menikah","Notaris","Myanmar"
"4232333280258324","3rIc cR00k","Banyuwangi","1968-10-18","Laki-Laki","O","Jl. 3rIc cR00k No. 28","Khonghucu","Cerai","Manajer","Singapura"
"5453656532651232","Gl0r KLly","Pangkal Pinang","1961-09-22","Laki-Laki","B","Jl. Gl0r KLly No. 84","Katolik","Menikah","Anggota BPK","Kamboja"
"5308614336295477","barbaR4 P4YNE","Kediri","1963-02-27","Perempuan","B","Jl. barbaR4 P4YNE No. 64","Khonghucu","Menikah","Notaris","Italia"
"0052338899197181","KaTh3 d3LE0n","Kediri","1954-01-29","Perempuan","A","Jl. KaTh3 d3LE0n No. 11","Buddha","Cerai","Pendeta","Singapura"
"4659239052679321","d0NAlD 4Y4L4","Pasuruan","1983-10-30","Perempuan","A","Jl. d0NAlD 4Y4L4 No. 7","Khonghucu","Belum Menikah","Pilot","Kamboja"
"2318100781635719","NATh4n13L cOnsTAnZ4","Magetan","1996-06-28","Laki-Laki","AB","Jl. NATh4n13L cOnsTAnZ4 No. 94","Katolik","Belum Menikah","Penata Rambut","Malaysia"
"6697537578475848","vCNT klN3","Tanjungpinang","1990-04-29","Perempuan","B","Jl. vCNT klN3 No. 19","Katolik","Menikah","Sopir","Perancis"
"4836374570514453","OdI5 r0M3rO","Sumenep","1969-09-28","Laki-Laki","B","Jl. OdI5 r0M3rO No. 57","Islam","Cerai","Penyiar Radio","Inggris"
"4798868998968088","CL lb4N0","Madiun","1982-04-10","Perempuan","O","Jl. CL lb4N0 No. 38","Protestan","Menikah","Promotor Acara","Thailand"
"8361650557885142","bR1DGT c0pR","Situbondo","1964-08-24","Perempuan","AB","Jl. bR1DGT c0pR No. 7","Katolik","Menikah","Penerjemah","Perancis"
"4913430615097514","b3TTY ChR5Tn","Pacitan","1998-12-08","Laki-Laki","AB","Jl. b3TTY ChR5Tn No. 40","Protestan","Belum Menikah","Biarawati","Korea"
"4040410727835889","n1L mCk4N3","Malang","1970-05-14","Laki-Laki","AB","Jl. n1L mCk4N3 No. 13","Hindu","Belum Menikah","Paranormal","Malaysia"
"3859731760069349","TERRY C0r4ThErs","Balikpapan","1962-04-13","Perempuan","O","Jl. TERRY C0r4ThErs No. 45","Hindu","Menikah","Karyawan Swasta","Vietnam"
"5867849071766806","4mbEr B3nS0n","Kediri","1982-08-17","Perempuan","B","Jl. 4mbEr B3nS0n No. 68","Katolik","Menikah","Bupati","Amerika"
